Please select your  age (in years) below :,How often do you find that you stay online longer than you intended?  [Your response],How often do your grades or school work suffer because of the amount of time you spend online?  [Your response],How often does your job performance or productivity suffer because of the social media?  [Your response],How often do you check your social media account before something else that you need to do? [Your response],How often do you lose sleep due to being online?  [Your response],How often do you try to cut down the amount of time you spend online and fail? [Your response],"How often do you feel depressed, moody, or nervous when you are off-line, which goes away once you are back online? [Your response]","In a day, how much time do you spend on social media platforms?",How well are you able to concentrate?,Are you able to accept your bodily appearance?,How satisfied are you with the support you get from your friends?,"How often do you have negative feelings, such as blue mood, despair, anxiety, depression? ",Highest level of eduaction attained :,Field of education / profession :,Type of settlement : ,When did you start using social media actively?
18-22,Occasionally,Rarely,Rarely,Frequently,Often,Frequently,Rarely,greater than 3 hours,4,4,4,3,12th standard,Finance,Urban,4 years ago or higher
18-22,Occasionally,Always,Not Applicable,Always,Always,Occasionally,Always,greater than 3 hours,5,3,1,1,12th standard,Engineering,Rural,4 years ago or higher
18-22,Occasionally,Not Applicable,Not Applicable,Frequently,Rarely,Frequently,Not Applicable,2 to 3 hours,4,5,1,1,12th standard,Finance,Urban,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Occasionally,Rarely,Rarely,Not Applicable,1 to 2 hours,4,4,4,2,12th standard,Fine Arts,Urban,3 years ago
18-22,Occasionally,Not Applicable,Frequently,Rarely,Occasionally,Occasionally,Not Applicable,greater than 3 hours,5,5,5,1,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,2 to 3 hours,3,4,5,3,12th standard,Finance,Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Occasionally,2 to 3 hours,2,2,1,4,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Rarely,Rarely,less than an hour,5,5,3,2,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,4,3,1,2,12th standard,Fine Arts,Urban,3 years ago
18-22,Occasionally,Occasionally,Rarely,Rarely,Not Applicable,Not Applicable,Always,greater than 3 hours,5,3,1,4,12th standard,"Arts, Psychology and Sociology",Rural,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Frequently,Rarely,Often,Rarely,1 to 2 hours,3,5,1,5,12th standard,Engineering,Urban,4 years ago or higher
18-22,Occasionally,Rarely,Not Applicable,Not Applicable,Rarely,Rarely,Not Applicable,1 to 2 hours,3,4,3,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,1 to 2 hours,4,5,5,2,Bachelor's Degree,Management,Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Rarely,Rarely,Frequently,Frequently,Often,less than an hour,4,4,3,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,2 years ago
18-22,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,4,4,3,3,Bachelor's Degree,Designing,Urban,4 years ago or higher
18-22,Occasionally,Rarely,Occasionally,Occasionally,Frequently,Frequently,Not Applicable,1 to 2 hours,4,4,5,2,Bachelor's Degree,Finance,Urban,3 years ago
18-22,Occasionally,Frequently,Frequently,Frequently,Occasionally,Occasionally,Occasionally,1 to 2 hours,3,2,3,4,Bachelor's Degree,Management,Urban,3 years ago
18-22,Occasionally,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,greater than 3 hours,4,4,4,4,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Frequently,Frequently,greater than 3 hours,5,5,5,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Occasionally,1 to 2 hours,3,2,4,3,Bachelor's Degree,Engineering,Rural,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Rarely,Not Applicable,Not Applicable,Not Applicable,less than an hour,4,5,4,1,Bachelor's Degree,Designing,Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,greater than 3 hours,5,5,5,5,Bachelor's Degree,Management,Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,greater than 3 hours,4,4,5,3,Bachelor's Degree,Mass-communication,Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Frequently,Rarely,1 to 2 hours,4,5,5,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Occasionally,Frequently,Rarely,Rarely,Frequently,Often,Occasionally,1 to 2 hours,4,3,3,3,Bachelor's Degree,Finance,Urban,3 years ago
18-22,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,1 to 2 hours,4,2,4,5,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Occasionally,Rarely,Not Applicable,Occasionally,Occasionally,Rarely,Rarely,greater than 3 hours,3,3,3,2,Bachelor's Degree,Law,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Occasionally,Not Applicable,Not Applicable,Not Applicable,2 to 3 hours,4,4,4,3,12th standard,Finance,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Frequently,Rarely,Rarely,Occasionally,greater than 3 hours,4,3,4,2,12th standard,Finance,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,2 to 3 hours,4,2,3,5,12th standard,Finance,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Rarely,Occasionally,Not Applicable,Always,greater than 3 hours,3,5,1,5,12th standard,Finance,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Frequently,Rarely,2 to 3 hours,4,5,5,1,Bachelor's Degree,Designing,Urban,4 years ago or higher
23-25,Occasionally,Frequently,Rarely,Rarely,Frequently,Rarely,Rarely,1 to 2 hours,3,4,4,3,Bachelor's Degree,Designing,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Rarely,Not Applicable,1 to 2 hours,4,4,4,1,Bachelor's Degree,Designing,Urban,2 years ago
23-25,Occasionally,Not Applicable,Rarely,Always,Often,Frequently,Often,2 to 3 hours,2,4,4,4,Bachelor's Degree,Pharmacy,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Frequently,Rarely,Occasionally,Not Applicable,2 to 3 hours,2,3,5,3,Bachelor's Degree,Management,Rural,4 years ago or higher
23-25,Occasionally,Not Applicable,Not Applicable,Occasionally,Rarely,Occasionally,Not Applicable,1 to 2 hours,4,5,5,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
23-25,Occasionally,Not Applicable,Not Applicable,Rarely,Rarely,Rarely,Not Applicable,1 to 2 hours,4,4,3,3,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Often,Often,greater than 3 hours,3,4,4,5,Bachelor's Degree,Engineering,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Occasionally,Not Applicable,Rarely,Rarely,1 to 2 hours,4,5,4,3,Bachelor's Degree,Designing,Urban,2 years ago
23-25,Occasionally,Rarely,Rarely,Frequently,Not Applicable,Rarely,Rarely,1 to 2 hours,5,5,5,1,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Not Applicable,Occasionally,Frequently,Frequently,Not Applicable,1 to 2 hours,4,5,5,2,Bachelor's Degree,Education Teaching,Urban,less than an year ago
23-25,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Rarely,Occasionally,1 to 2 hours,5,5,5,3,Bachelor's Degree,Finance,Rural,less than an year ago
23-25,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,greater than 3 hours,3,4,3,3,Bachelor's Degree,Designing,Urban,4 years ago or higher
23-25,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,1 to 2 hours,4,5,5,3,Bachelor's Degree,Management,Rural,4 years ago or higher
23-25,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Rarely,1 to 2 hours,3,3,3,3,Master's Degree,Designing,Urban,4 years ago or higher
23-25,Occasionally,Occasionally,Often,Occasionally,Rarely,Frequently,Rarely,2 to 3 hours,5,5,5,1,Master's Degree,Management,Urban,4 years ago or higher
23-25,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Occasionally,Rarely,greater than 3 hours,4,5,5,4,Master's Degree,Medical,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,3,3,3,4,Master's Degree,Management,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Not Applicable,1 to 2 hours,4,4,5,3,Master's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
26-28,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,2 to 3 hours,3,5,3,4,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
26-28,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,2 to 3 hours,3,3,2,4,Bachelor's Degree,Management,Urban,4 years ago or higher
26-28,Occasionally,Not Applicable,Rarely,Frequently,Frequently,Occasionally,Rarely,1 to 2 hours,5,5,5,3,Bachelor's Degree,Finance,Rural,4 years ago or higher
26-28,Occasionally,Rarely,Rarely,Frequently,Occasionally,Occasionally,Rarely,1 to 2 hours,4,4,5,2,Bachelor's Degree,Engineering,Urban,3 years ago
26-28,Occasionally,Not Applicable,Rarely,Occasionally,Rarely,Frequently,Rarely,greater than 3 hours,3,3,4,4,Bachelor's Degree,Engineering,Urban,2 years ago
26-28,Occasionally,Not Applicable,Rarely,Rarely,Occasionally,Occasionally,Occasionally,2 to 3 hours,3,4,3,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
26-28,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,1 to 2 hours,4,4,3,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
26-28,Occasionally,Rarely,Occasionally,Not Applicable,Rarely,Occasionally,Rarely,2 to 3 hours,3,3,2,3,Bachelor's Degree,Management,Rural,4 years ago or higher
26-28,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Rarely,Rarely,less than an hour,4,5,5,4,Bachelor's Degree,Engineering,Rural,2 years ago
26-28,Occasionally,Not Applicable,Occasionally,Often,Frequently,Often,Rarely,1 to 2 hours,4,2,5,3,Master's Degree,Education Teaching,Rural,4 years ago or higher
26-28,Occasionally,Not Applicable,Rarely,Frequently,Rarely,Occasionally,Rarely,1 to 2 hours,3,4,3,3,Master's Degree,Finance,Urban,4 years ago or higher
26-28,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,1 to 2 hours,5,5,2,2,Master's Degree,Finance,Urban,4 years ago or higher
26-28,Occasionally,Frequently,Rarely,Rarely,Occasionally,Frequently,Occasionally,1 to 2 hours,3,3,3,2,Master's Degree,Engineering,Urban,4 years ago or higher
26-28,Occasionally,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,4,4,4,1,Master's Degree,Engineering,Urban,3 years ago
26-28,Occasionally,Not Applicable,Not Applicable,Occasionally,Not Applicable,Not Applicable,Not Applicable,greater than 3 hours,4,4,5,2,Master's Degree,Mass-communication,Rural,4 years ago or higher
26-28,Occasionally,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,Rarely,less than an hour,3,2,5,5,Master's Degree,Finance,Urban,4 years ago or higher
Above 28,Occasionally,Not Applicable,Rarely,Rarely,Occasionally,Often,Not Applicable,less than an hour,4,5,4,4,12th standard,"Arts, Psychology and Sociology",Rural,2 years ago
Above 28,Occasionally,Not Applicable,Not Applicable,Rarely,Rarely,Rarely,Not Applicable,less than an hour,3,3,1,4,12th standard,Fine Arts,Urban,4 years ago or higher
Above 28,Occasionally,Rarely,Rarely,Occasionally,Not Applicable,Rarely,Occasionally,1 to 2 hours,3,4,4,4,12th standard,Engineering,Urban,4 years ago or higher
Above 28,Occasionally,Often,Often,Often,Occasionally,Frequently,Occasionally,greater than 3 hours,2,3,4,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Rarely,Occasionally,1 to 2 hours,3,2,3,4,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,greater than 3 hours,2,3,3,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Occasionally,Not Applicable,Rarely,Rarely,Rarely,Not Applicable,Not Applicable,less than an hour,3,3,4,2,Bachelor's Degree,Management,Urban,4 years ago or higher
Above 28,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,2 to 3 hours,4,4,5,2,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Occasionally,Rarely,Rarely,Frequently,Occasionally,Frequently,Not Applicable,1 to 2 hours,4,1,3,4,Diploma,"Arts, Psychology and Sociology",Rural,4 years ago or higher
Above 28,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,2 to 3 hours,3,4,4,3,Master's Degree,Management,Urban,4 years ago or higher
Above 28,Occasionally,Not Applicable,Rarely,Rarely,Rarely,Not Applicable,Not Applicable,greater than 3 hours,4,4,5,1,Master's Degree,Medical,Urban,less than an year ago
Above 28,Occasionally,Always,Always,Always,Always,Always,Always,2 to 3 hours,3,3,3,5,Master's Degree,Nursing,Urban,2 years ago
Above 28,Occasionally,Not Applicable,Rarely,Occasionally,Not Applicable,Frequently,Rarely,2 to 3 hours,4,3,4,2,Master's Degree,Education Teaching,Urban,4 years ago or higher
below 18,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,2 to 3 hours,3,3,3,3,12th standard,Engineering,Urban,2 years ago
18-22,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,2 to 3 hours,4,4,5,5,12th standard,Engineering,Urban,3 years ago
18-22,Occasionally,Rarely,Rarely,Occasionally,Frequently,Occasionally,Rarely,1 to 2 hours,3,3,5,2,12th standard,Fine Arts,Rural,3 years ago
18-22,Occasionally,Rarely,Often,Occasionally,Rarely,Not Applicable,Not Applicable,less than an hour,1,1,1,5,12th standard,Finance,Urban,4 years ago or higher
18-22,Occasionally,Rarely,Not Applicable,Occasionally,Rarely,Occasionally,Rarely,less than an hour,4,5,4,2,12th standard,Management,Urban,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Frequently,Often,Frequently,Rarely,greater than 3 hours,4,4,4,3,12th standard,Finance,Urban,4 years ago or higher
18-22,Occasionally,Always,Not Applicable,Always,Always,Occasionally,Always,greater than 3 hours,5,3,1,1,12th standard,Engineering,Rural,4 years ago or higher
18-22,Occasionally,Not Applicable,Not Applicable,Frequently,Rarely,Frequently,Not Applicable,2 to 3 hours,4,5,1,1,12th standard,Finance,Urban,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Occasionally,Rarely,Rarely,Not Applicable,1 to 2 hours,4,4,4,2,12th standard,Fine Arts,Urban,3 years ago
18-22,Occasionally,Not Applicable,Frequently,Rarely,Occasionally,Occasionally,Not Applicable,greater than 3 hours,5,5,5,1,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,2 to 3 hours,3,4,5,3,12th standard,Finance,Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Occasionally,Occasionally,2 to 3 hours,2,2,1,4,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Rarely,Rarely,less than an hour,5,5,3,2,12th standard,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,4,3,1,2,12th standard,Fine Arts,Urban,3 years ago
18-22,Occasionally,Occasionally,Rarely,Rarely,Not Applicable,Not Applicable,Always,greater than 3 hours,5,3,1,4,12th standard,"Arts, Psychology and Sociology",Rural,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Frequently,Rarely,Often,Rarely,1 to 2 hours,3,5,1,5,12th standard,Engineering,Urban,4 years ago or higher
18-22,Occasionally,Rarely,Not Applicable,Not Applicable,Rarely,Rarely,Not Applicable,1 to 2 hours,3,4,3,1,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,1 to 2 hours,4,5,5,2,Bachelor's Degree,Management,Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Rarely,Rarely,Frequently,Frequently,Often,less than an hour,4,4,3,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,2 years ago
18-22,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,4,4,3,3,Bachelor's Degree,Designing,Urban,4 years ago or higher
18-22,Occasionally,Rarely,Occasionally,Occasionally,Frequently,Frequently,Not Applicable,1 to 2 hours,4,4,5,2,Bachelor's Degree,Finance,Urban,3 years ago
18-22,Occasionally,Frequently,Frequently,Frequently,Occasionally,Occasionally,Occasionally,1 to 2 hours,3,2,3,4,Bachelor's Degree,Management,Urban,3 years ago
18-22,Occasionally,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,greater than 3 hours,4,4,4,4,Bachelor's Degree,Engineering,Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Occasionally,Frequently,Occasionally,Frequently,Frequently,greater than 3 hours,5,5,5,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Occasionally,1 to 2 hours,3,2,4,3,Bachelor's Degree,Engineering,Rural,4 years ago or higher
18-22,Occasionally,Rarely,Rarely,Rarely,Not Applicable,Not Applicable,Not Applicable,less than an hour,4,5,4,1,Bachelor's Degree,Designing,Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,greater than 3 hours,5,5,5,5,Bachelor's Degree,Management,Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,greater than 3 hours,4,4,5,3,Bachelor's Degree,Mass-communication,Urban,4 years ago or higher
18-22,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Frequently,Rarely,1 to 2 hours,4,5,5,3,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Occasionally,Frequently,Rarely,Rarely,Frequently,Often,Occasionally,1 to 2 hours,4,3,3,3,Bachelor's Degree,Finance,Urban,3 years ago
18-22,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,1 to 2 hours,4,2,4,5,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
18-22,Occasionally,Rarely,Not Applicable,Occasionally,Occasionally,Rarely,Rarely,greater than 3 hours,3,3,3,2,Bachelor's Degree,Law,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Occasionally,Not Applicable,Not Applicable,Not Applicable,2 to 3 hours,4,4,4,3,12th standard,Finance,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Frequently,Rarely,Rarely,Occasionally,greater than 3 hours,4,3,4,2,12th standard,Finance,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,2 to 3 hours,4,2,3,5,12th standard,Finance,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Rarely,Occasionally,Not Applicable,Always,greater than 3 hours,3,5,1,5,12th standard,Finance,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Frequently,Rarely,2 to 3 hours,4,5,5,1,Bachelor's Degree,Designing,Urban,4 years ago or higher
23-25,Occasionally,Frequently,Rarely,Rarely,Frequently,Rarely,Rarely,1 to 2 hours,3,4,4,3,Bachelor's Degree,Designing,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Rarely,Not Applicable,1 to 2 hours,4,4,4,1,Bachelor's Degree,Designing,Urban,2 years ago
23-25,Occasionally,Not Applicable,Rarely,Always,Often,Frequently,Often,2 to 3 hours,2,4,4,4,Bachelor's Degree,Pharmacy,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Frequently,Rarely,Occasionally,Not Applicable,2 to 3 hours,2,3,5,3,Bachelor's Degree,Management,Rural,4 years ago or higher
23-25,Occasionally,Not Applicable,Not Applicable,Occasionally,Rarely,Occasionally,Not Applicable,1 to 2 hours,4,5,5,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
23-25,Occasionally,Not Applicable,Not Applicable,Rarely,Rarely,Rarely,Not Applicable,1 to 2 hours,4,4,3,3,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Occasionally,Occasionally,Occasionally,Frequently,Frequently,Often,Often,greater than 3 hours,3,4,4,5,Bachelor's Degree,Engineering,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Occasionally,Not Applicable,Rarely,Rarely,1 to 2 hours,4,5,4,3,Bachelor's Degree,Designing,Urban,2 years ago
23-25,Occasionally,Rarely,Rarely,Frequently,Not Applicable,Rarely,Rarely,1 to 2 hours,5,5,5,1,Bachelor's Degree,Finance,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Not Applicable,Occasionally,Frequently,Frequently,Not Applicable,1 to 2 hours,4,5,5,2,Bachelor's Degree,Education Teaching,Urban,less than an year ago
23-25,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Rarely,Occasionally,1 to 2 hours,5,5,5,3,Bachelor's Degree,Finance,Rural,less than an year ago
23-25,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,greater than 3 hours,3,4,3,3,Bachelor's Degree,Designing,Urban,4 years ago or higher
23-25,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,1 to 2 hours,4,5,5,3,Bachelor's Degree,Management,Rural,4 years ago or higher
23-25,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Rarely,1 to 2 hours,3,3,3,3,Master's Degree,Designing,Urban,4 years ago or higher
23-25,Occasionally,Occasionally,Often,Occasionally,Rarely,Frequently,Rarely,2 to 3 hours,5,5,5,1,Master's Degree,Management,Urban,4 years ago or higher
23-25,Occasionally,Occasionally,Rarely,Occasionally,Rarely,Occasionally,Rarely,greater than 3 hours,4,5,5,4,Master's Degree,Medical,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,greater than 3 hours,3,3,3,4,Master's Degree,Management,Urban,4 years ago or higher
23-25,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Not Applicable,1 to 2 hours,4,4,5,3,Master's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
26-28,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Occasionally,2 to 3 hours,3,5,3,4,Bachelor's Degree,"Arts, Psychology and Sociology",Urban,4 years ago or higher
26-28,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,2 to 3 hours,3,3,2,4,Bachelor's Degree,Management,Urban,4 years ago or higher
26-28,Occasionally,Not Applicable,Rarely,Frequently,Frequently,Occasionally,Rarely,1 to 2 hours,5,5,5,3,Bachelor's Degree,Finance,Rural,4 years ago or higher
26-28,Occasionally,Rarely,Rarely,Frequently,Occasionally,Occasionally,Rarely,1 to 2 hours,4,4,5,2,Bachelor's Degree,Engineering,Urban,3 years ago
26-28,Occasionally,Not Applicable,Rarely,Occasionally,Rarely,Frequently,Rarely,greater than 3 hours,3,3,4,4,Bachelor's Degree,Engineering,Urban,2 years ago
26-28,Occasionally,Not Applicable,Rarely,Rarely,Occasionally,Occasionally,Occasionally,2 to 3 hours,3,4,3,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
26-28,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,1 to 2 hours,4,4,3,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
26-28,Occasionally,Rarely,Occasionally,Not Applicable,Rarely,Occasionally,Rarely,2 to 3 hours,3,3,2,3,Bachelor's Degree,Management,Rural,4 years ago or higher
26-28,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Rarely,Rarely,less than an hour,4,5,5,4,Bachelor's Degree,Engineering,Rural,2 years ago
26-28,Occasionally,Not Applicable,Occasionally,Often,Frequently,Often,Rarely,1 to 2 hours,4,2,5,3,Master's Degree,Education Teaching,Rural,4 years ago or higher
26-28,Occasionally,Not Applicable,Rarely,Frequently,Rarely,Occasionally,Rarely,1 to 2 hours,3,4,3,3,Master's Degree,Finance,Urban,4 years ago or higher
26-28,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,1 to 2 hours,5,5,2,2,Master's Degree,Finance,Urban,4 years ago or higher
26-28,Occasionally,Frequently,Rarely,Rarely,Occasionally,Frequently,Occasionally,1 to 2 hours,3,3,3,2,Master's Degree,Engineering,Urban,4 years ago or higher
26-28,Occasionally,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,1 to 2 hours,4,4,4,1,Master's Degree,Engineering,Urban,3 years ago
26-28,Occasionally,Not Applicable,Not Applicable,Occasionally,Not Applicable,Not Applicable,Not Applicable,greater than 3 hours,4,4,5,2,Master's Degree,Mass-communication,Rural,4 years ago or higher
26-28,Occasionally,Rarely,Not Applicable,Occasionally,Rarely,Not Applicable,Rarely,less than an hour,3,2,5,5,Master's Degree,Finance,Urban,4 years ago or higher
Above 28,Occasionally,Not Applicable,Rarely,Rarely,Occasionally,Often,Not Applicable,less than an hour,4,5,4,4,12th standard,"Arts, Psychology and Sociology",Rural,2 years ago
Above 28,Occasionally,Not Applicable,Not Applicable,Rarely,Rarely,Rarely,Not Applicable,less than an hour,3,3,1,4,12th standard,Fine Arts,Urban,4 years ago or higher
Above 28,Occasionally,Rarely,Rarely,Occasionally,Not Applicable,Rarely,Occasionally,1 to 2 hours,3,4,4,4,12th standard,Engineering,Urban,4 years ago or higher
Above 28,Occasionally,Often,Often,Often,Occasionally,Frequently,Occasionally,greater than 3 hours,2,3,4,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Occasionally,Occasionally,Occasionally,Occasionally,Frequently,Rarely,Occasionally,1 to 2 hours,3,2,3,4,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,greater than 3 hours,2,3,3,3,Bachelor's Degree,Engineering,Urban,4 years ago or higher
Above 28,Occasionally,Not Applicable,Rarely,Rarely,Rarely,Not Applicable,Not Applicable,less than an hour,3,3,4,2,Bachelor's Degree,Management,Urban,4 years ago or higher
Above 28,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,2 to 3 hours,4,4,5,2,Bachelor's Degree,Engineering,Urban,4 years ago or higher
